class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/util/AddCoopPlayer$1,<clinit>,()V,SORTED_MULTISET,0,59,59,0,,,,,,,,,,
zombie/core/Languages,loadTranslateDirectory,(Ljava/lang/String;)V,STRUCTURAL,1,106,107,1,branch_target:1,,1,,,,,,,
zombie/network/PlayerDownloadServer$WorkerThread,sendArray,(Lzombie/network/ClientChunkRequest;)V,SORTED_MULTISET,1,252,252,0,branch_target:1,,1,,,,,,,
zombie/radio/RadioXmlReader,readTranslatorNames,(Ljava/lang/String;)Ljava/util/ArrayList;,SORTED_MULTISET,1,80,81,1,branch_target:1,,1,,,,,,,
zombie/characters/ZombiesZoneDefinition,init,()V,STRUCTURAL,2,37,38,1,branch_target:2,,2,,,,,,,
zombie/characters/ZombiesZoneDefinition,initZone,(Ljava/lang/String;Lse/krka/kahlua/j2se/KahluaTableImpl;)Lzombie/characters/ZombiesZoneDefinition$ZZDZone;,STRUCTURAL,2,52,53,1,branch_target:2,,2,,,,,,,
zombie/chat/ChatUtility,parseStringForChatBubble,(Ljava/lang/String;)Ljava/lang/String;,SORTED_MULTISET,2,176,176,0,branch_target:2,,2,,,,,,,
zombie/core/Languages,init,()V,STRUCTURAL,2,48,49,1,branch_target:2,,2,,,,,,,
zombie/core/skinnedmodel/population/Outfit,findHat,()Lzombie/core/skinnedmodel/population/ClothingItemReference;,STRUCTURAL,2,21,22,1,branch_target:2,,2,,,,,,,
zombie/gameStates/ConnectToServerState$WorkshopItem,DownloadPending,()V,STRUCTURAL,2,58,57,-1,branch_target:1; orig_extra:1,,1,,,,1,,,
zombie/network/GameServerWorkshopItems$WorkshopItem,DownloadPending,()V,STRUCTURAL,2,46,45,-1,branch_target:1; orig_extra:1,,1,,,,1,,,
zombie/network/PlayerDownloadServer$WorkerThread,putCommand,(Lzombie/network/PlayerDownloadServer$EThreadCommand;Lzombie/network/ClientChunkRequest;)V,SORTED_MULTISET,2,16,15,-1,goto_swap:1; orig_extra:1,,,,1,,1,,,
