full_class,package,class_name,is_inner_class,method_name,descriptor,match_tier,raw_similarity_pct,orig_insns,recomp_insns,insn_diff
zombie.util.list.PZConvertList,zombie.util.list,PZConvertList,False,replaceAll,(Ljava/util/function/UnaryOperator;)V,SORTED_MULTISET,50,28,27,-1
zombie.core.skinnedmodel.HelperFunctions,zombie.core.skinnedmodel,HelperFunctions,False,CreateFromQuaternionPositionScale,(Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Quaternion;Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;)V,STRUCTURAL,50,38,32,-6
zombie.vehicles.UI3DScene,zombie.vehicles,UI3DScene,False,fromLua9,(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,54.64,97,95,-2
zombie.core.raknet.VoiceManager$3,zombie.core.raknet,VoiceManager$3,True,call,(Lse/krka/kahlua/vm/LuaCallFrame;I)I,STRUCTURAL,57.14,49,49,0
zombie.erosion.categories.ErosionCategory,zombie.erosion.categories,ErosionCategory,False,updateObj,(Lzombie/erosion/ErosionData$Square;Lzombie/erosion/categories/ErosionCategory$Data;Lzombie/iso/IsoGridSquare;Lzombie/erosion/obj/ErosionObj;ZIIZ)V,SORTED_MULTISET,58.62,58,57,-1
zombie.iso.IsoMetaGrid,zombie.iso,IsoMetaGrid,False,getChunkData,(II)Lzombie/iso/IsoMetaChunk;,STRUCTURAL,62.5,64,60,-4
zombie.ui.UIManager,zombie.ui,UIManager,False,DrawTexture,(Lzombie/core/textures/Texture;DD)V,STRUCTURAL,63.64,33,29,-4
zombie.ai.states.SwipeStatePlayer,zombie.ai.states,SwipeStatePlayer,False,los,(IIIIILzombie/ai/states/SwipeStatePlayer$LOSVisitor;)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,65.75,181,177,-4
zombie.network.ServerGUI,zombie.network,ServerGUI,False,updateCamera,(Lzombie/characters/IsoPlayer;)V,STRUCTURAL,66.4,125,123,-2
zombie.WorldSoundManager,zombie,WorldSoundManager,False,getBiggestSoundZomb,(IIIZLzombie/characters/IsoZombie;)Lzombie/WorldSoundManager$ResultBiggestSound;,STRUCTURAL,66.47,170,168,-2
zombie.gameStates.AnimationViewerState,zombie.gameStates,AnimationViewerState,False,fromLua1,(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,66.67,24,22,-2
zombie.vehicles.VehicleManager,zombie.vehicles,VehicleManager,False,serverPacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,FUZZY_COMPUTATION,67.41,537,541,4
zombie.iso.IsoGridSquare,zombie.iso,IsoGridSquare,False,EnsureSurroundNotNull,()V,SORTED_MULTISET,67.74,93,91,-2
zombie.vehicles.VehicleManager,zombie.vehicles,VehicleManager,False,clientPacket,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,68.11,577,577,0
zombie.core.WinReqistry$StreamReader,zombie.core,WinReqistry$StreamReader,True,run,()V,SORTED_MULTISET,69.23,13,15,2
zombie.Lua.LuaEventManager,zombie.Lua,LuaEventManager,False,triggerEvent,(Ljava/lang/String;)V,STRUCTURAL,69.57,23,20,-3
zombie.characters.IsoPlayer,zombie.characters,IsoPlayer,False,hopFence,(Lzombie/iso/IsoDirections;Z)Z,STRUCTURAL,69.59,296,294,-2
zombie.core.skinnedmodel.HelperFunctions,zombie.core.skinnedmodel,HelperFunctions,False,getMatrix,()Lorg/lwjgl/util/vector/Matrix4f;,STRUCTURAL,70.37,27,25,-2
zombie.ui.UIManager,zombie.ui,UIManager,False,DrawTexture,(Lzombie/core/textures/Texture;DDDDD)V,STRUCTURAL,70.59,34,30,-4
zombie.inventory.RecipeManager,zombie.inventory,RecipeManager,False,PerformMakeItem,(Lzombie/scripting/objects/Recipe;Lzombie/inventory/InventoryItem;Lzombie/characters/IsoGameCharacter;Ljava/util/ArrayList;)Lzombie/inventory/InventoryItem;,STRUCTURAL,70.8,524,524,0
zombie.network.NetChecksum$Comparer,zombie.network,NetChecksum$Comparer,True,serverPacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;)V,SORTED_MULTISET,71.2,375,374,-1
zombie.characters.IsoZombie,zombie.characters,IsoZombie,False,addAggro,(Lzombie/iso/IsoMovingObject;F)V,SORTED_MULTISET,71.23,73,72,-1
zombie.util.list.PrimitiveFloatList,zombie.util.list,PrimitiveFloatList,False,forEach,(Ljava/util/function/Consumer;)V,SORTED_MULTISET,71.43,7,6,-1
zombie.core.IndieFileLoader,zombie.core,IndieFileLoader,False,getStreamReader,(Ljava/lang/String;Z)Ljava/io/InputStreamReader;,SORTED_MULTISET,71.79,39,43,4
zombie.iso.IsoObject,zombie.iso,IsoObject,False,getNew,(Lzombie/iso/IsoGridSquare;Ljava/lang/String;Ljava/lang/String;Z)Lzombie/iso/IsoObject;,SORTED_MULTISET,71.93,57,59,2
zombie.iso.IsoCell,zombie.iso,IsoCell,False,getHeatSourceHighestTemperature,(FIII)F,STRUCTURAL,72.39,134,136,2
zombie.vehicles.BaseVehicle,zombie.vehicles,BaseVehicle,False,canAttachTrailer,(Lzombie/vehicles/BaseVehicle;Ljava/lang/String;Ljava/lang/String;Z)Z,STRUCTURAL,72.59,135,135,0
