full_class,package,class_name,is_inner_class,byte_exact_pct,total_methods,exact_methods,non_exact_methods,structural,sorted_multiset,fuzzy,core_ops_only,none,min_raw_similarity,avg_raw_similarity,total_instructions
zombie.network.FakeClientManager$1,zombie.network,FakeClientManager$1,True,0.0,1,0,1,0,1,0,0,0,95.61,95.61,296
zombie.util.AddCoopPlayer$1,zombie.util,AddCoopPlayer$1,True,0.0,1,0,1,0,1,0,0,0,100.0,100.0,59
zombie.vehicles.test_IsQuadranglesAreTransposed,zombie.vehicles,test_IsQuadranglesAreTransposed,False,13.33,15,2,13,0,13,0,0,0,100.0,100.0,881
zombie.BitMatrix,zombie,BitMatrix,False,33.33,3,1,2,0,2,0,0,0,100.0,100.0,88
zombie.core.skinnedmodel.model.VertexBufferObject$VertexArray,zombie.core.skinnedmodel.model,VertexBufferObject$VertexArray,True,40.0,5,2,3,0,3,0,0,0,100.0,100.0,160
zombie.iso.IsoObjectPicker,zombie.iso,IsoObjectPicker,False,47.06,17,8,9,9,0,0,0,0,88.28,94.8,1985
zombie.core.raknet.VoiceManager$3,zombie.core.raknet,VoiceManager$3,True,50.0,2,1,1,1,0,0,0,0,57.14,57.14,55
zombie.iso.LosUtil,zombie.iso,LosUtil,False,50.0,8,4,4,4,0,0,0,0,78.19,81.09,2107
zombie.vehicles.UI3DScene$GridPlaneDrawer,zombie.vehicles,UI3DScene$GridPlaneDrawer,True,50.0,2,1,1,0,1,0,0,0,83.33,83.33,105
zombie.vehicles.VehicleDBHelper,zombie.vehicles,VehicleDBHelper,False,50.0,2,1,1,0,1,0,0,0,85.59,85.59,121
zombie.network.GameServerWorkshopItems,zombie.network,GameServerWorkshopItems,False,50.0,4,2,2,2,0,0,0,0,85.71,87.72,204
zombie.commands.serverCommands.StatisticsCommand,zombie.commands.serverCommands,StatisticsCommand,False,50.0,2,1,1,0,1,0,0,0,89.09,89.09,117
zombie.commands.serverCommands.RemoveZombiesCommand,zombie.commands.serverCommands,RemoveZombiesCommand,False,50.0,2,1,1,0,1,0,0,0,93.6,93.6,257
zombie.network.ServerChunkLoader$SaveChunkThread,zombie.network,ServerChunkLoader$SaveChunkThread,True,50.0,8,4,4,0,4,0,0,0,92.16,98.04,271
zombie.audio.parameters.ParameterCurrentZone,zombie.audio.parameters,ParameterCurrentZone,False,50.0,2,1,1,0,1,0,0,0,100.0,100.0,126
zombie.chat.NineGridTexture,zombie.chat,NineGridTexture,False,50.0,2,1,1,0,1,0,0,0,100.0,100.0,219
zombie.input.KeyboardStateCache,zombie.input,KeyboardStateCache,False,60.0,5,3,2,2,0,0,0,0,76.19,80.41,119
zombie.input.MouseStateCache,zombie.input,MouseStateCache,False,60.0,5,3,2,2,0,0,0,0,76.19,80.41,119
zombie.vehicles.CircleLineIntersect,zombie.vehicles,CircleLineIntersect,False,60.0,5,3,2,1,1,0,0,0,84.28,89.96,3030
zombie.vehicles.VehicleEngineRPM,zombie.vehicles,VehicleEngineRPM,False,60.0,5,3,2,0,2,0,0,0,90.79,94.22,235
zombie.modding.ActiveModsFile,zombie.modding,ActiveModsFile,False,60.0,5,3,2,2,0,0,0,0,96.67,96.87,276
zombie.Lua.LuaEventManager,zombie.Lua,LuaEventManager,False,65.38,26,17,9,9,0,0,0,0,69.57,84.82,1806
zombie.core.WinReqistry$StreamReader,zombie.core,WinReqistry$StreamReader,True,66.67,3,2,1,0,1,0,0,0,69.23,69.23,28
zombie.core.IndieFileLoader,zombie.core,IndieFileLoader,False,66.67,3,2,1,0,1,0,0,0,71.79,71.79,46
zombie.input.ControllerStateCache,zombie.input,ControllerStateCache,False,66.67,6,4,2,2,0,0,0,0,76.19,80.41,130
zombie.savefile.PlayerDBHelper,zombie.savefile,PlayerDBHelper,False,66.67,6,4,2,0,2,0,0,0,85.09,85.84,572
zombie.characters.ClothingWetness,zombie.characters,ClothingWetness,False,66.67,6,4,2,0,2,0,0,0,86.89,88.47,1027
zombie.iso.TileOverlays$TileOverlayUsage,zombie.iso,TileOverlays$TileOverlayUsage,True,66.67,3,2,1,0,1,0,0,0,92.21,92.21,116
zombie.iso.NearestWalls,zombie.iso,NearestWalls,False,66.67,15,10,5,4,1,0,0,0,86.11,92.52,1114
zombie.core.Collections.NonBlockingHashMap$3,zombie.core.Collections,NonBlockingHashMap$3,True,66.67,6,4,2,2,0,0,0,0,92.86,93.09,46
zombie.core.Collections.NonBlockingHashMapLong$3,zombie.core.Collections,NonBlockingHashMapLong$3,True,66.67,6,4,2,2,0,0,0,0,92.86,93.09,46
zombie.core.Collections.NonBlockingHashtable$3,zombie.core.Collections,NonBlockingHashtable$3,True,66.67,6,4,2,2,0,0,0,0,92.86,93.09,46
zombie.core.Collections.NonBlockingIdentityHashMap$3,zombie.core.Collections,NonBlockingIdentityHashMap$3,True,66.67,6,4,2,2,0,0,0,0,92.86,93.09,46
zombie.config.ConfigFile,zombie.config,ConfigFile,False,66.67,6,4,2,1,1,0,0,0,89.21,93.41,238
zombie.util.ByteBufferOutputStream,zombie.util,ByteBufferOutputStream,False,66.67,9,6,3,3,0,0,0,0,92.31,93.97,176
zombie.audio.parameters.ParameterFootstepMaterial,zombie.audio.parameters,ParameterFootstepMaterial,False,66.67,3,2,1,1,0,0,0,0,97.7,97.7,99
zombie.scripting.ScriptParsingUtils,zombie.scripting,ScriptParsingUtils,False,66.67,3,2,1,1,0,0,0,0,98.61,98.61,409
